orderid,regionid,systemid,stationid,typeid,bid,price,minvolume,volremain,volenter,issued,duration,range,reportedby,reportedtime,,,
2391490956,10000002,30000142,60003760,34,0,3.85,1,176472052,606396503,12/31/2011 9:00,"30 days, 0:00:00",32767,0,53:54.7,2334626537,,
2331101857,10000002,30000142,60003760,34,0,4.5,1,873,873,10/27/2011 1:50,"90 days, 0:00:00",32767,0,53:54.7,3928.5,,
2316956222,10000002,30000142,60003760,34,0,200000,1,1,1,10/11/2011 20:22,"90 days, 0:00:00",32767,0,53:54.7,200000,,
2236857377,10000002,30000142,60003760,34,0,4.98,1,50000,50000,12/30/2011 15:44,"90 days, 0:00:00",32767,0,53:54.7,249000,,
2392961390,10000002,30000142,60003760,34,0,3.82,1,22908035,80000000,1/1/2012 1:17,"1 day, 0:00:00",32767,0,21:25.3,305600000,,
2392959940,10000002,30000142,60003760,34,0,3.83,1,28354576,40360015,1/1/2012 1:14,"90 days, 0:00:00",32767,0,21:25.3,154578857.5,,
2392952931,10000002,30000142,60003760,34,0,3.84,1,5001797,5001797,1/1/2012 1:00,"90 days, 0:00:00",32767,0,21:25.3,19206900.48,,
2392949357,10000002,30000142,60003760,34,0,3.84,1,46192440,46192440,1/1/2012 0:53,"90 days, 0:00:00",32767,0,21:25.3,177378969.6,,
2392949353,10000002,30000142,60003760,34,0,3.84,1,2203306,2204659,1/1/2012 0:53,"1 day, 0:00:00",32767,0,21:25.3,8465890.56,,
2391490956,10000002,30000142,60003760,34,0,3.85,1,123809062,606396503,12/31/2011 9:00,"30 days, 0:00:00",32767,0,21:25.3,2334626537,,
2393064781,10000002,30000142,60003760,34,0,3.85,1,3195552,3195552,1/1/2012 5:04,"90 days, 0:00:00",32767,0,34:57.4,12302875.2,,
2392968592,10000002,30000142,60003760,34,0,4.39,1,257431375,257431375,1/1/2012 1:30,"30 days, 0:00:00",32767,0,34:57.4,1130123736,,
2392510364,10000002,30000142,60003760,34,0,3.85,1,33462854,63462854,12/31/2011 13:27,"90 days, 0:00:00",32767,0,34:57.4,244331987.9,,
2392510364,10000002,30000142,60003760,34,0,3.85,1,33368654,63462854,12/31/2011 13:27,"90 days, 0:00:00",32767,0,42:57.2,244331987.9,,
2393175735,10000002,30000142,60003760,34,0,3.85,1,1,1,1/1/2012 9:38,"7 days, 0:00:00",32767,0,41:09.3,3.85,,
2393143339,10000002,30000142,60003760,34,0,3.9,1,440008297,440008297,1/1/2012 8:20,"30 days, 0:00:00",32767,0,41:09.3,1716032358,,
2393119859,10000002,30000142,60003760,34,0,4.1,1,1304130,1304130,1/1/2012 7:23,"1 day, 0:00:00",32767,0,41:09.3,5346933,,
2393111477,10000002,30000142,60003760,34,0,4.36,1,1840423063,1840423063,1/1/2012 7:02,"30 days, 0:00:00",32767,0,41:09.3,8024244555,,
2392141505,10000002,30000142,60003760,34,0,3.87,1,1124322953,1325371794,12/31/2011 2:07,"30 days, 0:00:00",32767,0,41:09.3,5129188843,,
2392141505,10000002,30000142,60003760,34,0,3.87,1,549088974,1325371794,12/31/2011 2:07,"30 days, 0:00:00",32767,0,56:51.2,5129188843,,
2393195721,10000002,30000142,60003760,34,0,3.84,1,57267936,173943628,1/1/2012 10:19,"1 day, 0:00:00",32767,0,56:51.2,667943531.5,,
2393187043,10000002,30000142,60003760,34,0,3.86,1,2982787,3011362,1/1/2012 10:01,"90 days, 0:00:00",32767,0,56:51.2,11623857.32,,
2392141505,10000002,30000142,60003760,34,0,3.87,1,195660859,1325371794,12/31/2011 2:07,"30 days, 0:00:00",32767,0,47:29.4,5129188843,,
2393275378,10000002,30000142,60003760,34,0,3.89,1,3340812,3840812,1/1/2012 13:13,"90 days, 0:00:00",32767,0,38:06.2,14940758.68,,
2390863950,10000002,30000142,60003760,34,0,3.9,1,136870458,518772786,12/29/2011 19:38,"30 days, 0:00:00",32767,0,38:06.2,2023213865,,
2393143339,10000002,30000142,60003760,34,0,3.9,1,797223,440008297,1/1/2012 8:20,"30 days, 0:00:00",32767,0,58:06.2,1716032358,,
2393311046,10000002,30000142,60003760,34,0,4.07,1,5474037,5474037,1/1/2012 14:04,"90 days, 0:00:00",32767,0,10:18.5,22279330.59,,
2393310452,10000002,30000142,60003760,34,0,4.16,1,36029683,36029683,1/1/2012 14:03,"90 days, 0:00:00",32767,0,10:18.5,149883481.3,,
2390856402,10000002,30000142,60003760,34,0,4.08,1,7000000,253963069,12/29/2011 19:30,"90 days, 0:00:00",32767,0,10:18.5,1036169322,,
2393345282,10000002,30000142,60003760,34,0,4.07,1,428938800,445086240,1/1/2012 15:16,"90 days, 0:00:00",32767,0,42:41.5,1811500997,,
2393329371,10000002,30000142,60003760,34,0,4.21,1,776183808,776183808,1/1/2012 15:12,"90 days, 0:00:00",32767,0,42:41.5,3267733832,,
2393362419,10000002,30000142,60003760,34,0,4.13,1,225539217,225539217,1/1/2012 15:12,"14 days, 0:00:00",32767,0,42:41.5,931476966.2,,
2393360237,10000002,30000142,60003760,34,0,4.14,1,95712142,95712142,1/1/2012 15:09,"90 days, 0:00:00",32767,0,42:41.5,396248267.9,,
2393353770,10000002,30000142,60003760,34,0,4.09,1,3771273,3843312,1/1/2012 15:02,"90 days, 0:00:00",32767,0,42:41.5,15719146.08,,
2393351424,10000002,30000142,60003760,34,0,4.1,1,28460574,28460574,1/1/2012 14:59,"90 days, 0:00:00",32767,0,42:41.5,116688353.4,,
2393310452,10000002,30000142,60003760,34,0,4.1,1,17118597,36029683,1/1/2012 14:58,"90 days, 0:00:00",32767,0,42:41.5,147721700.3,,
2393346900,10000002,30000142,60003760,34,0,4.11,1,76751072,373083928,1/1/2012 14:53,"30 days, 0:00:00",32767,0,42:41.5,1533374944,,
2393346261,10000002,30000142,60003760,34,0,4.14,1,219180422,219180422,1/1/2012 14:52,"90 days, 0:00:00",32767,0,42:41.5,907406947.1,,
2393344384,10000002,30000142,60003760,34,0,4.17,1,10842350,10842350,1/1/2012 14:50,"90 days, 0:00:00",32767,0,42:41.5,45212599.5,,
2393386636,10000002,30000142,60003760,34,0,4.05,1,183714539,183714539,1/1/2012 15:40,"90 days, 0:00:00",32767,0,44:06.8,744043883,,
2393385995,10000002,30000142,60003760,34,0,4.06,1,82200000,82200000,1/1/2012 15:39,"90 days, 0:00:00",32767,0,44:06.8,333732000,,
2393345282,10000002,30000142,60003760,34,0,4.07,1,275637310,445086240,1/1/2012 15:16,"90 days, 0:00:00",32767,0,44:06.8,1811500997,,
2393419042,10000002,30000142,60003760,34,0,4.04,1,1711661,2331661,1/1/2012 16:16,"1 day, 0:00:00",32767,0,18:33.3,9419910.44,,
2393386636,10000002,30000142,60003760,34,0,4.05,1,91029039,183714539,1/1/2012 15:40,"90 days, 0:00:00",32767,0,18:33.3,744043883,,
2393385995,10000002,30000142,60003760,34,0,4.04,1,9693802,82200000,1/1/2012 16:30,"90 days, 0:00:00",32767,0,40:08.5,332088000,,
2393386636,10000002,30000142,60003760,34,0,4.05,1,76097499,183714539,1/1/2012 15:40,"90 days, 0:00:00",32767,0,40:08.5,744043883,,
2393444831,10000002,30000142,60003760,34,0,4.04,1,243043331,243526427,1/1/2012 16:45,"90 days, 0:00:00",32767,0,54:25.3,983846765.1,,
2393386636,10000002,30000142,60003760,34,0,4.05,1,17734433,183714539,1/1/2012 15:40,"90 days, 0:00:00",32767,0,54:25.3,744043883,,
2393444831,10000002,30000142,60003760,34,0,3.99,1,241143331,243526427,1/1/2012 17:20,"90 days, 0:00:00",32767,0,24:41.6,971670443.7,,
2393471828,10000002,30000142,60003760,34,0,4,1,10845975,22951200,1/1/2012 17:19,"1 day, 0:00:00",32767,0,24:41.6,91804800,,
2393472008,10000002,30000142,60003760,34,0,4.01,1,28742400,28742400,1/1/2012 17:14,"90 days, 0:00:00",32767,0,24:41.6,115257024,,
2393471249,10000002,30000142,60003760,34,0,4.02,1,62858592,62858592,1/1/2012 17:13,"90 days, 0:00:00",32767,0,24:41.6,252691539.8,,
2393462121,10000002,30000142,60003760,34,0,4.33,1,1379467264,1379467264,1/1/2012 17:04,"90 days, 0:00:00",32767,0,24:41.6,5973093253,,
2393461324,10000002,30000142,60003760,34,0,4.03,1,359428545,361428545,1/1/2012 17:03,"90 days, 0:00:00",32767,0,24:41.6,1456557036,,
2393444831,10000002,30000142,60003760,34,0,3.99,1,221362811,243526427,1/1/2012 17:20,"90 days, 0:00:00",32767,0,31:20.9,971670443.7,,
2393517837,10000002,30000142,60003760,34,0,4.21,1,335790080,335790080,1/1/2012 18:03,"90 days, 0:00:00",32767,0,06:24.4,1413676237,,
2393515720,10000002,30000142,60003760,34,0,4,1,35051123,35051123,1/1/2012 18:01,"90 days, 0:00:00",32767,0,06:24.4,140204492,,
2393493615,10000002,30000142,60003760,34,0,4.25,1,62607317,62607317,1/1/2012 17:37,"30 days, 0:00:00",32767,0,06:24.4,266081097.3,,
2393486143,10000002,30000142,60003760,34,0,4.3,1,341763482,341763482,1/1/2012 17:30,"90 days, 0:00:00",32767,0,06:24.4,1469582973,,
2393471828,10000002,30000142,60003760,34,0,3.98,1,2211800,22951200,1/1/2012 17:30,"1 day, 0:00:00",32767,0,06:24.4,91345776,,
2393519240,10000002,30000142,60003760,34,0,3.95,1,91634883,91634883,1/1/2012 18:05,"14 days, 0:00:00",32767,0,08:27.0,361957787.9,,
2393529252,10000002,30000142,60003760,34,0,3.87,1,1212513,1212513,1/1/2012 18:15,"1 day, 0:00:00",32767,0,18:24.5,4692425.31,,
2393529102,10000002,30000142,60003760,34,0,3.87,1,33672539,44722326,1/1/2012 18:15,"1 day, 0:00:00",32767,0,18:24.5,173075401.6,,
2393521274,10000002,30000142,60003760,34,0,3.94,1,288358,5858000,1/1/2012 18:07,"90 days, 0:00:00",32767,0,18:24.5,23080520,,
2393519240,10000002,30000142,60003760,34,0,3.95,1,90121283,91634883,1/1/2012 18:05,"14 days, 0:00:00",32767,0,18:24.5,361957787.9,,
2393569314,10000002,30000142,60003760,34,0,3.94,1,10000000,10000000,1/1/2012 18:57,"1 day, 0:00:00",32767,0,00:08.8,39400000,,
2393566304,10000002,30000142,60003760,34,0,3.99,1,57970103,74640893,1/1/2012 18:54,"90 days, 0:00:00",32767,0,00:08.8,297817163.1,,
2393560313,10000002,30000142,60003757,34,0,3.8,1,2715,3465,1/1/2012 18:47,"3 days, 0:00:00",32767,0,00:08.8,13167,,
2393550445,10000002,30000142,60003757,34,0,3.82,1,9255,9255,1/1/2012 18:37,"3 days, 0:00:00",32767,0,00:08.8,35354.1,,
2393546318,10000002,30000142,60003757,34,0,3.95,1,185724,185724,1/1/2012 18:33,"3 days, 0:00:00",32767,0,00:08.8,733609.8,,
2393532175,10000002,30000142,60003760,34,0,4.01,1,28715000,28715000,1/1/2012 18:18,"90 days, 0:00:00",32767,0,00:08.8,115147150,,
2393515720,10000002,30000142,60003760,34,0,4,1,8327375,35051123,1/1/2012 18:01,"90 days, 0:00:00",32767,0,00:08.8,140204492,,
2393569314,10000002,30000142,60003760,34,0,3.94,1,9956400,10000000,1/1/2012 18:57,"1 day, 0:00:00",32767,0,02:08.8,39400000,,
2393576145,10000002,30000142,60003760,34,0,3.86,1,135306735,251000000,1/1/2012 19:03,"1 day, 0:00:00",32767,0,04:09.9,968860000,,
2393569314,10000002,30000142,60003760,34,0,3.94,1,1896400,10000000,1/1/2012 18:57,"1 day, 0:00:00",32767,0,04:09.9,39400000,,
2393566304,10000002,30000142,60003760,34,0,3.95,1,56606299,74640893,1/1/2012 20:24,"90 days, 0:00:00",32767,0,27:07.4,294831527.4,,
2393647963,10000002,30000142,60003760,34,0,3.96,1,81838746,81838746,1/1/2012 20:15,"90 days, 0:00:00",32767,0,27:07.4,324081434.2,,
2393624577,10000002,30000142,60003760,34,0,3.97,1,182220569,253275493,1/1/2012 19:51,"90 days, 0:00:00",32767,0,27:07.4,1005503707,,
2393620895,10000002,30000142,60003760,34,0,3.98,1,83770000,86000000,1/1/2012 19:48,"90 days, 0:00:00",32767,0,27:07.4,342280000,,
2393612298,10000002,30000142,60003760,34,0,4,1,19562696,19562696,1/1/2012 19:39,"90 days, 0:00:00",32767,0,27:07.4,78250784,,
2393592520,10000002,30000142,60003760,34,0,4.01,1,25055368,25055368,1/1/2012 19:20,"90 days, 0:00:00",32767,0,27:07.4,100472025.7,,
2393739797,10000002,30000142,60003760,34,0,3.82,1,28140907,119305901,1/1/2012 21:48,"1 day, 0:00:00",32767,0,52:57.0,455748541.8,,
2393739000,10000002,30000142,60003760,34,0,3.99,1,116088832,116088832,1/1/2012 21:47,"30 days, 0:00:00",32767,0,52:57.0,463194439.7,,
2393707232,10000002,30000142,60003760,34,0,4,1,433526583,433526583,1/1/2012 21:15,"90 days, 0:00:00",32767,0,52:57.0,1734106332,,
2393694441,10000002,30000142,60003760,34,0,3.95,1,57304878,57304878,1/1/2012 21:02,"30 days, 0:00:00",32767,0,52:57.0,226354268.1,,
2393693050,10000002,30000142,60003760,34,0,3.95,1,33406806,242727293,1/1/2012 21:01,"90 days, 0:00:00",32767,0,52:57.0,958772807.4,,
2393560313,10000002,30000142,60003757,34,0,3.8,1,2713,3465,1/1/2012 18:47,"3 days, 0:00:00",32767,0,52:57.0,13167,,
2393745961,10000002,30000142,60003760,34,0,3.85,1,46179,46179,1/1/2012 21:54,"1 day, 0:00:00",32767,0,56:52.3,177789.15,,
2393739797,10000002,30000142,60003760,34,0,3.82,1,28140710,119305901,1/1/2012 21:48,"1 day, 0:00:00",32767,0,04:56.3,455748541.8,,
2393620895,10000002,30000142,60003760,34,0,3.98,1,44528022,86000000,1/1/2012 19:48,"90 days, 0:00:00",32767,0,29:05.4,342280000,,
2393800093,10000002,30000142,60003760,34,0,3.95,1,406250,406250,1/1/2012 22:50,"14 days, 0:00:00",32767,0,51:14.5,1604687.5,,
2393362419,10000002,30000142,60003760,34,0,3.98,1,153921449,225539217,1/1/2012 22:49,"14 days, 0:00:00",32767,0,51:14.5,897646083.7,,
2393790184,10000002,30000142,60003760,34,0,4.33,1,2116027,2116027,1/1/2012 22:40,"7 days, 0:00:00",32767,0,51:14.5,9162396.91,,
2393592520,10000002,30000142,60003760,34,0,3.97,1,25050368,25055368,1/1/2012 22:22,"90 days, 0:00:00",32767,0,51:14.5,99469810.96,,
2393800093,10000002,30000142,60003760,34,0,3.95,1,209250,406250,1/1/2012 22:50,"14 days, 0:00:00",32767,0,52:54.5,1604687.5,,
2393852327,10000002,30000142,60003760,34,0,3.93,1,648940,648940,1/1/2012 23:47,"1 day, 0:00:00",32767,0,52:10.1,2550334.2,,
2393839753,10000002,30000142,60003760,34,0,3.99,1,654364672,654364672,1/1/2012 23:32,"30 days, 0:00:00",32767,0,52:10.1,2610915041,,
2393830031,10000002,30000142,60003760,34,0,3.94,1,58923712,81982842,1/1/2012 23:22,"90 days, 0:00:00",32767,0,52:10.1,323012397.5,,
2393804737,10000002,30000142,60003760,34,0,3.95,1,102174616,102174616,1/1/2012 23:20,"30 days, 0:00:00",32767,0,52:10.1,403589733.2,,
2393804192,10000002,30000142,60003760,34,0,3.96,1,33750000,33750000,1/1/2012 22:54,"90 days, 0:00:00",32767,0,52:10.1,133650000,,
